station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
06C,2021-01-01 22:55,-88.1012,41.9893,243.48,32.00,30.60,94.50,360.00,7.00,0.00,29.87,null,10.00,null,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,24.78,K06C 020455Z AUTO 36007KT 10SM OVC008 00/M01 A2987 RMK AO2 T00001008
06C,2021-01-01 23:15,-88.1012,41.9893,243.48,32.00,30.60,94.50,360.00,9.00,0.00,29.87,null,10.00,18.00,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,23.51,K06C 020515Z AUTO 36009G18KT 10SM OVC008 00/M01 A2987 RMK AO2 T00001008
06C,2021-01-01 23:35,-88.1012,41.9893,243.48,31.80,30.20,93.73,360.00,7.00,0.00,29.88,null,10.00,null,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,24.54,K06C 020535Z AUTO 36007KT 10SM OVC008 00/M01 A2988 RMK AO2 T10011010
06C,2021-01-01 23:55,-88.1012,41.9893,243.48,32.00,30.20,92.97,350.00,5.00,0.00,29.90,null,10.00,null,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,26.40,K06C 020555Z AUTO 35005KT 10SM OVC008 00/M01 A2990 RMK AO2 60017 T00001010 10010 21001 400101089
06C,2021-01-02 00:15,-88.1012,41.9893,243.48,31.80,30.20,93.73,360.00,9.00,0.00,29.90,null,7.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,23.27,K06C 020615Z AUTO 36009KT 7SM OVC006 00/M01 A2990 RMK AO2 T10011010
06C,2021-01-02 00:35,-88.1012,41.9893,243.48,31.60,30.00,93.72,0.00,0.00,0.00,29.92,null,5.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020635Z AUTO 00000KT 5SM OVC006 00/M01 A2992 RMK AO2 T10021011
06C,2021-01-02 00:55,-88.1012,41.9893,243.48,31.50,30.00,94.10,0.00,0.00,0.00,29.95,null,5.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020655Z AUTO 00000KT 5SM OVC006 00/M01 A2995 RMK AO2 T10031011
06C,2021-01-02 01:15,-88.1012,41.9893,243.48,31.60,30.20,94.49,0.00,0.00,0.00,29.96,null,5.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020715Z AUTO 00000KT 5SM OVC004 00/M01 A2996 RMK AO2 T10021010
06C,2021-01-02 01:35,-88.1012,41.9893,243.48,31.60,30.20,94.49,0.00,0.00,0.00,29.97,null,7.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020735Z AUTO 00000KT 7SM OVC006 00/M01 A2997 RMK AO2 T10021010
06C,2021-01-02 01:55,-88.1012,41.9893,243.48,31.10,29.80,94.86,0.00,0.00,0.00,29.97,null,7.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020755Z AUTO 00000KT 7SM OVC006 00/M01 A2997 RMK AO2 T10051012
06C,2021-01-02 02:15,-88.1012,41.9893,243.48,30.70,29.10,93.69,0.00,0.00,0.00,29.98,null,5.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020815Z AUTO 00000KT 5SM OVC006 M01/M02 A2998 RMK AO2 T10071016
06C,2021-01-02 02:35,-88.1012,41.9893,243.48,30.20,28.80,94.45,0.00,0.00,0.00,29.99,null,3.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020835Z AUTO 00000KT 3SM OVC006 M01/M02 A2999 RMK AO2 T10101018
06C,2021-01-02 02:55,-88.1012,41.9893,243.48,30.00,28.40,93.68,0.00,0.00,0.00,30.00,null,4.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020855Z AUTO 00000KT 4SM OVC006 M01/M02 A3000 RMK AO2 T10111020
06C,2021-01-02 03:15,-88.1012,41.9893,243.48,29.30,28.00,94.82,0.00,0.00,0.00,30.01,null,3.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020915Z AUTO 00000KT 3SM OVC006 M01/M02 A3001 RMK AO2 T10151022
06C,2021-01-02 03:35,-88.1012,41.9893,243.48,29.10,27.50,93.65,0.00,0.00,0.00,30.01,null,4.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020935Z AUTO 00000KT 4SM OVC006 M02/M02 A3001 RMK AO2 T10161025
06C,2021-01-02 03:55,-88.1012,41.9893,243.48,28.80,27.30,94.03,0.00,0.00,0.00,30.02,null,4.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020955Z AUTO 00000KT 4SM OVC006 M02/M03 A3002 RMK AO2 T10181026
06C,2021-01-02 04:15,-88.1012,41.9893,243.48,28.00,26.60,94.40,0.00,0.00,0.00,30.03,null,3.00,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,null,K06C 021015Z AUTO 00000KT 3SM OVC004 M02/M03 A3003 RMK AO2 T10221030
